Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8611/0247|2021-03-30 18:30:18|Владимирская область, Камешковский район , пимени Карла Маркса,улица Шоссейная, дом 9|ПН-СР 08:30-14:45, ЧТ выходной, ПТ 08:30-14:45, СБ 09:00-13:15, ВС выходной
8611/0264|2021-06-21 15:42:20|г Владимир,улица Большая Московская, дом 27|ПН-ПТ 09:00-18:30, СБ-ВС выходной
8611/0265|2021-06-21 15:42:19|г Владимир,улица Комиссарова, дом 13|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8611/0270|2020-09-28 03:14:26|г Владимир, проспект Ленина, дом 36|ПН 08:00-19:00, ВТ-ПТ 09:00-19:00, СБ 08:30-14:30, ВС 10:00-14:00
8611/0302|2021-02-24 17:08:48|Владимирская область,город Муром,улица Карла Маркса, дом 22А|ПН-ПТ 08:30-19:00, СБ 08:30-15:00, ВС 09:00-13:30
8611/0303|2021-06-07 13:59:12|Владимирская область,город Муром,улица Муромская, дом 3/1|ПН 08:30-18:00, ВТ-ПТ 09:00-18:00, СБ-ВС выходной
8611/0304|2021-05-05 09:52:05|Владимирская область,город Муром,улица Дзержинского, дом 43|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8611/0306|2021-02-24 17:08:48|Владимирская область,город Муром,улица Московская, дом 47|ПН 08:30-18:00, ВТ-ПТ 09:00-18:00, СБ 08:30-12:30, ВС выходной
8611/0307|2021-06-07 13:59:12|Владимирская область,город Муром, ш Карачаровское, дом 34|ПН 08:30-18:00, ВТ-ПТ 09:00-18:00, СБ-ВС выходной
8611/0308|2021-06-07 13:59:12|Владимирская область,город Муром,улица Кленовая, дом 5|ПН-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной
8611/0309|2021-05-05 09:52:04|Владимирская область,город Муром,улица Заводская, дом 21|ПН 08:30-17:30, ВТ-ПТ 08:45-17:45, СБ-ВС выходной
8611/0330|2021-05-12 12:42:08|Владимирская область,город Вязники,улица Советская, дом 80|ПН 08:00-18:00, ВТ-ПТ 08:30-18:00, СБ 08:30-12:30, ВС выходной
8611/0332|2021-05-05 09:52:04|Владимирская область,город Вязники,улица Ленина, дом 10|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8611/0351|2021-06-07 13:59:12|Владимирская область,город Гороховец,улица Ленина, дом 91|ПН 08:30-17:30, ВТ-ПТ 09:00-17:30, СБ 08:30-12:00, ВС выходной
8611/0353|2021-03-30 18:30:18|Владимирская область, Гороховецкий район , с Фоминки,улица Советская, дом 12|ПН 08:45-16:30, ВТ выходной, СР-ЧТ 08:45-16:30, ПТ 08:45-12:45, СБ-ВС выходной
8611/0360|2021-02-24 17:08:48|Владимирская область,город Меленки,улица 1 Мая, дом 42|ПН-ПТ 08:00-17:00, СБ 08:30-13:00, ВС выходной
8611/0370|2021-02-24 17:08:37|Владимирская область, п Красная Горбатка,улица Садовая, дом 15|ПН 08:00-16:30, ВТ-ЧТ 08:30-16:30, ПТ 08:00-16:30, СБ-ВС выходной
8611/0400|2021-02-24 17:08:51|Владимирская область,город Кольчугино,улица 3 Интернационала, дом 40|ПН-ПТ 08:00-18:30, СБ 08:30-13:00, ВС 08:30-13:30
8611/0402|2021-02-24 17:08:51|Владимирская область,город Кольчугино,улица Веденеева, дом 4|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8611/0410|2021-02-24 17:08:37|Владимирская область,город Юрьев-Польский,улица Школьная, дом 11|ПН-ПТ 08:00-17:30, СБ 08:30-12:30, ВС выходной
8611/0420|2021-05-12 12:42:08|Владимирская область,город Александров, пер Советский, дом 1А|ПН-ПТ 08:30-18:00, СБ 08:30-14:00, ВС выходной
8611/0422|2021-05-12 12:42:08|Владимирская область,город Александров,улица Ческа-Липа, дом 10|ПН-ПТ 08:30-18:00, СБ 08:30-14:30, ВС выходной
8611/0423|2021-06-21 15:42:19|Владимирская область,город Александров,улица Октябрьская, дом 2|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8611/0440|2021-06-21 15:42:19|Владимирская область,город Киржач,улица Пугачева, дом 2|ПН 08:00-17:30, ВТ-ПТ 08:30-17:30, СБ 08:30-13:30, ВС выходной
8611/056|2021-06-21 15:42:19|г Владимир,улица Горького, дом 85Б|ПН 08:00-19:00, ВТ-ПТ 08:30-19:00, СБ 09:00-15:00, ВС выходной
8611/058|2021-06-21 15:42:19|г Владимир,улица Мира, дом 90|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8611/063|2020-09-28 03:14:26|г Владимир,улица Мира, дом 41А|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
8611/073|2020-09-28 03:14:26|г Владимир,улица Мира, дом 25|ПН-ПТ 09:00-19:00, СБ 09:00-13:00, ВС выходной
