Номер ВСП/ПВЗ|Дата открытия ВСП/ПВЗ|Адрес ВСП/ПВЗ|Режим работы ВСП/ПВЗ
8595/071|2021-05-12 12:42:36|Орловская область, с Тросна,улица Советская, влд 15|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8595/080|2021-10-27 09:13:34|Орловская область,город Дмитровск,улица Советская, влд 101А|ПН-ПТ 08:30-17:00, СБ-ВС выходной
8595/085|2021-02-24 17:08:36|Орловская область, пгт Змиёвка,улица Ленина, дом 46|ПН-ПТ 08:30-17:00, СБ 09:00-12:00, ВС выходной
8595/097|2021-05-12 12:42:36|Орловская область,город Малоархангельск,улица Карла Маркса, дом 91|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/010|2020-09-28 03:14:25|г Курск, проспект Кулакова, дом 7|ПН-ПТ 08:30-18:00, СБ 09:00-16:00, ВС выходной
8596/0108|2021-05-12 12:42:36|Курская область,рабочий поселок Пристень,улица Ленина, дом 2А|ПН-ПТ 08:00-17:30, СБ-ВС выходной
8596/0110|2021-10-27 09:11:31|Курская область,рабочий поселок Поныри,улица Почтовая, влд 22|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0113|2021-02-24 17:08:49|Курская область,город Курчатов,улица Энергетиков, влд 10|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
8596/0114|2021-09-21 12:27:14|Курская область, пгт Прямицыно,улица Октябрьская, влд 118|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0119|2021-05-12 12:42:35|Курская область,город Курчатов, проспект Коммунистический, дом 27|ПН-ПТ 08:30-18:00, СБ 08:30-13:00, ВС выходной
8596/0121|2021-09-21 12:27:14|Курская область,рабочий поселок Солнцево,улица Ленина, зд 35Б|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0131|2021-06-21 15:42:34|Курская область, пгт Медвенка,улица Советская, дом 18А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/0135|2021-06-07 13:59:22|Курская область,город Фатеж,улица К.Маркса, влд 34|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0138|2021-06-07 13:59:21|Курская область,рабочий поселок Золотухино,улица Кирова, влд 17|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0142|2021-10-27 09:13:34|г Курск,улица Дзержинского, дом 42|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8596/0143|2020-09-28 03:14:25|г Курск,улица Бойцов 9-й дивизии, дом 185В|ПН-ПТ 09:00-18:30, СБ 10:00-14:00, ВС выходной
8596/0148|2020-09-28 03:14:25|г Курск, проспект Дружбы, дом 22|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной
8596/0151|2020-09-28 03:14:25|г Курск, проспект Победы, дом 2|ПН выходной, ВТ-ПТ 09:00-18:15, СБ 09:30-17:15, ВС выходной
8596/0152|2021-05-12 12:42:35|г Курск,улица Студенческая, дом 3|ПН-ПТ 08:30-17:30, СБ 10:00-13:30, ВС выходной
8596/0153|2021-10-27 09:25:48|г Курск,улица Карла Маркса, дом 55|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8596/0157|2021-06-21 15:42:34|г Курск,улица Ленина, дом 67|ПН-ПТ 09:00-19:00, СБ 09:00-15:30, ВС выходной
8596/0200|2021-02-24 17:08:53|Курская область,город Железногорск,улица Гайдара, дом 5|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8596/0201|2021-02-24 17:08:53|Курская область,город Железногорск,улица Ленина, дом 56|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8596/0207|2021-02-24 17:08:53|Курская область,город Железногорск,улица Ленина, дом 16|ПН-ПТ 08:30-18:30, СБ 09:00-14:00, ВС выходной
8596/0211|2021-06-07 13:59:21|Курская область, Дмитриевский район ,город Дмитриев,улица Ленина, дом 62А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0212|2021-12-13 14:16:39|Курская область,рабочий поселок Хомутовка,улица Пионерская, дом 5|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0216|2021-02-24 17:08:53|Курская область,город Железногорск,улица Ленина, дом 90 корпус а|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
8596/0217|2021-02-24 17:08:53|Курская область,город Железногорск,улица Димитрова, дом 14/1|ПН-ПТ 09:00-18:00, СБ 09:00-14:00, ВС выходной
8596/024|2020-09-28 03:14:25|г Курск,улица Дзержинского, дом 69|ПН-ПТ 09:00-18:00, СБ 10:00-13:30, ВС выходной
8596/0305|2021-05-12 12:42:35|Курская область,город Рыльск,улица К.Либкнехта, дом 31А|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной
8596/0306|2021-05-12 12:41:30|Курская область, п Глушково,улица Советская, зд 10|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/0313|2021-02-24 17:08:35|Курская область, пгт Коренево,улица 70 лет Октября, дом 16|ПН-ПТ 08:30-17:30, СБ-ВС выходной
8596/0315|2021-02-24 17:08:49|Курская область,город Льгов,улица К.Маркса, дом 42/2|ПН-ПТ 08:30-18:00, СБ-ВС выходной
8596/0400|2021-02-24 17:08:42|Курская область,город Суджа,улица К.Маркса, дом 29|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/0409|2021-05-12 12:42:35|Курская область, сл Белая,площадь Советская, дом 55А|ПН-ЧТ 08:30-16:45, ПТ 08:15-16:30, СБ-ВС выходной
8596/0416|2021-02-24 17:08:46|Курская область,город Обоянь,улица Ленина, дом 38|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/044|2021-06-21 15:42:34|г Курск,улица Дейнеки, дом 1|ПН-ПТ 08:30-17:30, СБ 09:00-14:30, ВС выходной
8596/048|2021-06-07 13:59:21|г Курск,улица Союзная, дом 41А|ПН-ПТ 08:15-18:45, СБ 09:00-13:30, ВС выходной
8596/0500|2021-02-24 17:08:38|Курская область,город Щигры,улица Луначарского, дом 5|ПН-ПТ 08:30-17:30, СБ 09:00-13:30, ВС выходной
8596/0505|2021-02-24 17:08:33|Курская область, с Мантурово,улица Ленина, дом 2|ПН-ПТ 08:30-16:45, СБ-ВС выходной
8596/0510|2021-10-27 09:25:49|Курская область,рабочий поселок Кшенский,улица Ленина, дом 57|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/0516|2021-10-27 09:13:34|Курская область,рабочий поселок Горшечное,улица Кирова, влд 22|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/0521|2021-05-12 12:42:35|Курская область,рабочий поселок Касторное,улица 50 лет Октября, дом 17А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
8596/055|2021-06-07 13:59:21|г Курск,улица Карла Маркса, дом 66/3|ПН-ПТ 09:00-18:00, СБ 09:00-14:30, ВС выходной
8596/060|2020-09-28 03:14:25|г Курск, проезд Магистральный, дом 18|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8596/064|2020-09-28 03:14:25|г Курск,улица Дубровинского, дом 5|ПН-ПТ 09:00-18:00, СБ-ВС выходной
8596/070|2021-06-21 15:42:34|г Курск,улица Менделеева, дом 10|ПН-ПТ 08:30-18:00, СБ 09:00-15:00, ВС выходной
9013/0003|2020-09-03 16:13:45|г Воронеж, проспект Революции, дом 35|ПН-ВС 09:00-21:00
9013/01000|2021-10-27 09:13:34|Воронежская область,город Павловск, проспект Революции, дом 19|ПН-ПТ 08:30-17:30, СБ-ВС выходной
9013/01011|2021-08-17 12:37:27|Воронежская область, с Верхний Мамон,улица 60 лет Октября, дом 12/1|ПН-ЧТ 08:30-16:30, ПТ 08:00-16:15, СБ-ВС выходной
9013/0102|2020-12-24 14:56:45|г Воронеж,улица Чебышева, дом 22|ПН-ПТ 09:00-18:00, СБ-ВС выходной
9013/01020|2021-02-24 17:08:57|Воронежская область,город Богучар, проспект 50-летия Победы, дом 8|ПН-ПТ 08:00-17:00, СБ-ВС выходной
9013/01035|2021-09-21 12:27:14|Воронежская область,город Павловск,улица Гоголя, дом 40А|ПН-ПТ 08:00-17:30, СБ 08:00-12:30, ВС выходной
9013/0105|2021-05-12 12:42:35|г Воронеж,улица Матросова, дом 6Б|ПН-ПТ 09:00-18:00, СБ-ВС выходной
9013/0113|2021-12-13 14:19:30|г Воронеж,улица Ворошилова, дом 49|ПН-ПТ 08:30-18:00, СБ 09:00-13:00, ВС выходной
9013/01200|2021-05-12 12:42:35|Воронежская область,город Семилуки,улица 9 Января, дом 21А|ПН-ПТ 08:30-17:30, СБ-ВС выходной
9013/01210|2021-08-17 12:37:27|Воронежская область, с Нижнедевицк,улица Революционная, дом 23А|ПН-ПТ 08:00-16:15, СБ-ВС выходной
9013/01215|2021-02-24 17:08:34|Воронежская область,рабочий поселок Хохольский,улица Ленина, дом 3А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
9013/0122|2021-08-17 12:37:27|г Воронеж,улица 232 Стрелковой дивизии, дом 45Б|ПН-ПТ 09:00-18:30, СБ 09:30-13:30, ВС выходной
9013/01223|2020-09-25 10:59:45|Воронежская область,город Семилуки,улица Чапаева, дом 29 корпус 1н|ПН-ПТ 08:00-17:30, СБ 08:30-13:00, ВС выходной
9013/0123|2021-06-07 13:59:21|г Воронеж,улица Богдана Хмельницкого, дом 40|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
9013/0124|2021-12-13 14:19:30|г Воронеж,улица Молодогвардейцев, дом 8|ПН-ПТ 08:30-18:00, СБ 09:00-14:00, ВС выходной
9013/0128|2021-09-21 12:27:14|г Воронеж,улица Новосибирская, дом 32|ПН-ПТ 08:30-17:30, СБ 09:00-13:00, ВС выходной
9013/01300|2021-02-24 17:08:45|Воронежская область,город Россошь, проспект Труда, дом 12А|ПН-ПТ 08:30-18:00, СБ 08:30-13:30, ВС выходной
9013/01302|2022-11-14 14:41:11|Воронежская область,город Россошь,площадь Танкистов, дом 1Д|ПН-ПТ 08:30-17:00, СБ 08:30-13:00, ВС выходной
9013/01322|2021-06-21 15:42:33|Воронежская область,город Россошь,улица Пролетарская, зд 74Б|ПН-ПТ 08:00-17:00, СБ-ВС выходной
9013/01323|2021-06-21 15:42:33|Воронежская область,рабочий поселок Ольховатка,улица Пролетарская, зд 3|ПН-ПТ 08:00-16:45, СБ-ВС выходной
9013/01332|2021-06-21 15:42:33|Воронежская область, пгт Подгоренский,улица Вокзальная, дом 63|ПН-ПТ 08:00-17:00, СБ-ВС выходной
9013/0134|2021-02-01 14:11:49|г Воронеж,улица Краснозвездная, дом 42|ПН-ПТ 09:00-18:00, СБ 09:00-13:00, ВС выходной
9013/01345|2021-02-24 17:08:35|Воронежская область,рабочий поселок Кантемировка,улица Победы, дом 18А|ПН-ПТ 08:00-17:00, СБ-ВС выходной
9013/0135|2021-06-21 15:42:33|г Воронеж,улица Туполева, дом 27А|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной
9013/0139|2020-09-03 16:13:45|г Воронеж,улица Беговая, дом 217|ПН-ПТ 08:30-18:30, СБ 08:30-15:00, ВС выходной
9013/0140|2021-06-07 13:59:21|г Воронеж,улица Хользунова, дом 76|ПН-ПТ 08:30-18:30, СБ 09:00-13:00, ВС выходной
