Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда
PS178|2020-07-29 00:00:00|Ростовская область,город Ростов-на-Дону,улица Толмачева, дом 127/44А|ПН-ПТ 09:00-19:00, СБ 09:00-16:00, ВС выходной|НЕТ
PS180|2020-07-29 00:00:00|Ростовская область, Тацинский район , станица Тацинская,улица Ленина, дом 49|ПН-ПТ 08:00-16:30, СБ-ВС выходной|НЕТ
PS207|2020-07-29 00:00:00|г Москва, район Хамовники, Зубовский бульвар , дом 13 строение 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS212|2020-07-29 00:00:00|г Москва,улица Академика Бакулева, дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS269|2020-07-29 00:00:00|г Москва, район Кузьминки,улица Зеленодольская, дом 22/14|ПН-ПТ 08:30-19:30, СБ 09:00-16:30, ВС выходной|НЕТ
PS275|2020-07-29 00:00:00|г Москва,улица Академика Миллионщикова, дом 19|ПН-ПТ 09:30-19:30, СБ 10:00-17:00, ВС выходной|НЕТ
PS297|2020-07-29 00:00:00|г Москва,улица Ташкентская, дом 9|ПН-ПТ 09:00-19:30, СБ 10:00-16:30, ВС выходной|НЕТ
PS325|2020-07-29 00:00:00|г Москва, Неманский пр-д, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS328|2020-07-29 00:00:00|г Москва, поселение Московский,город Московский,улица Солнечная, дом 3|ПН-ПТ 10:00-20:00, СБ 10:00-16:30, ВС выходной|НЕТ
PS332|2020-07-29 00:00:00|г Москва, район Тропарево-Никулино,улица Никулинская, дом 25|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS336|2020-07-29 00:00:00|г Москва,улица Измайловский Вал, дом 20|ПН 08:30-23:59, ВТ-ПТ 00:00-23:59, СБ 00:00-14:00, ВС выходной|НЕТ
PS172|2020-07-30 00:00:00|Волгоградская область,город Волгоград, проспект имениГероев Сталинграда, дом 1|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS177|2020-07-30 00:00:00|Волгоградская область,город Волгоград, Центральный район ,улица Новороссийская, дом 14Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS223|2020-07-30 00:00:00|Владимирская область,город Владимир, проспект Строителей, дом 22|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS224|2020-07-30 00:00:00|Кировская область,город Киров,улица Дерендяева, дом 25|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS240|2020-07-30 00:00:00|Владимирская область,город Владимир,улица Верхняя Дуброва, дом 21|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS262|2020-07-30 00:00:00|Владимирская область,город Владимир, проспект Ленина, дом 36|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS201|2020-07-31 00:00:00|г Москва,улица Плющиха, дом 42|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS229|2020-07-31 00:00:00|Владимирская область,город Владимир, Суздальский проспект , дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
PS230|2020-07-31 00:00:00|Владимирская область,город Владимир,улица Мира, дом 90|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ
PS399|2020-07-31 00:00:00|Владимирская область,город Ковров,улица Грибоедова, дом 28|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ
